N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
61,다원시스,"27,800",50,+0.18%,500,"9,636","34,661",7.98,"128,156",-23.21,-7.21,
62,지씨셀,"60,600","1,700",-2.73%,500,"9,575","15,800",6.84,"37,913",15.12,11.26,
63,포스코 ICT,"6,260",110,+1.79%,500,"9,517","152,035",2.53,"584,252",63.23,-3.91,
64,레고켐바이오,"39,150","1,350",-3.33%,500,"9,515","24,303",8.88,"105,142",-54.91,-12.61,
65,티에스이,"85,600",500,-0.58%,500,"9,469","11,061",11.64,"37,157",18.22,20.55,
66,콜마비앤에이치,"31,050",150,-0.48%,500,"9,173","29,544",1.71,"31,236",14.96,19.67,
67,비에이치,"26,850",400,-1.47%,500,"9,157","34,104",22.21,"250,166",7.52,22.55,
68,나노신소재,"83,600","1,500",-1.76%,500,"9,069","10,848",6.37,"521,951",100.97,7.74,
69,동국제약,"20,300",200,-0.98%,500,"9,025","44,460",18.26,"62,095",18.03,11.63,
70,제넥신,"35,700","1,150",-3.12%,500,"8,974","25,138",8.81,"59,493",-16.95,-9.06,
71,디어유,"40,400",650,+1.64%,500,"8,879","21,977",1.01,"158,047",-29.95,-41.60,
72,유진테크,"37,700","1,300",-3.33%,500,"8,639","22,916",22.71,"186,764",14.51,22.86,
73,SBW생명과학,"4,845",25,+0.52%,100,"8,582","177,134",0.60,"257,828",-27.07,-79.36,
74,삼강엠앤티,"23,050",200,+0.88%,500,"8,546","37,077",4.42,"533,201",-16.29,-32.71,
75,헬릭스미스,"22,550",400,-1.74%,500,"8,499","37,689",9.05,"92,181",-13.70,-20.31,
76,엘앤씨바이오,"37,200",50,+0.13%,500,"8,439","22,685",7.64,"128,355",63.70,19.34,
77,원익QnC,"32,000",500,-1.54%,500,"8,412","26,288",9.50,"212,440",13.75,21.52,
78,오스코텍,"27,550",300,-1.08%,500,"8,322","30,207",4.44,"88,524",-34.31,-64.15,
79,하나마이크론,"17,350",800,-4.41%,500,"8,314","47,922",9.51,"1,196,485",18.40,11.49,
80,이녹스첨단소재,"41,300",650,-1.55%,500,"8,312","20,126",21.52,"158,337",8.53,31.38,
81,현대사료,"135,100",0,0.00%,500,"8,309","6,150",1.41,0,"10,392.30",-1.24,
82,RFHIC,"30,600",400,-1.29%,500,"8,197","26,786",6.35,"66,783",123.39,2.53,
83,아이티엠반도체,"35,550",850,-2.34%,500,"8,062","22,678",2.24,"25,638",480.41,2.38,
84,메디톡스,"122,500","2,400",-1.92%,500,"8,031","6,556",7.76,"16,654",19.73,29.38,
85,웹젠,"22,650","1,650",+7.86%,500,"7,998","35,311",26.21,"507,639",10.77,18.51,
86,위메이드맥스,"23,450","1,500",+6.83%,500,"7,808","33,295",0.41,"1,019,342",49.68,-5.53,
87,파마리서치,"76,500",800,-1.03%,500,"7,736","10,112",11.92,"44,171",17.68,16.95,
88,아난티,"8,720",250,+2.95%,100,"7,537","86,429",6.91,"2,765,575",22.65,5.25,
89,서울반도체,"12,800",100,+0.79%,500,"7,463","58,305",6.25,"136,760",20.03,7.03,
90,바이오니아,"28,800",600,-2.04%,500,"7,433","25,810",8.10,"103,731",35.47,15.58,
91,인텔리안테크,"78,900","6,200",-7.29%,500,"7,246","9,184",9.24,"281,352",75.57,5.02,
92,엔케이맥스,"18,050","1,650",-8.38%,500,"7,091","39,285",6.65,"707,151",-13.33,-41.93,
93,휴림로봇,"4,310",185,-4.12%,200,"7,058","163,756",3.67,"19,870,075",-34.21,-52.76,
94,KG ETS,"19,200",100,+0.52%,500,"6,912","36,000",2.37,"16,303,436",26.59,16.32,
95,코리아센터,"6,030",70,+1.17%,100,"6,906","114,534",0.46,"177,472",53.84,3.42,
96,에코프로에이치엔,"44,600",50,+0.11%,500,"6,826","15,305",7.10,"57,695",53.10,N/A,
97,박셀바이오,"44,600",950,-2.09%,500,"6,789","15,223",2.49,"230,954",-119.57,-14.71,
98,이오플로우,"22,400",100,-0.44%,100,"6,788","30,304",8.06,"42,350",-17.45,-138.10,
99,넥스틴,"69,500","2,700",-3.74%,500,"6,729","9,682",15.59,"49,473",32.91,32.42,
100,파크시스템스,"96,700","4,000",-3.97%,500,"6,710","6,939",20.62,"46,792",42.60,12.69,
101,ISC,"38,350",650,-1.67%,500,"6,673","17,399",8.97,"131,745",16.58,15.30,
102,서진시스템,"17,250",200,+1.17%,500,"6,483","37,581",5.56,"231,458",15.12,12.83,
103,네패스,"27,700",250,-0.89%,500,"6,387","23,059",7.29,"46,247",-15.68,-20.62,
104,파트론,"10,700",200,-1.83%,500,"6,304","58,918",15.05,"337,806",8.50,17.93,
105,상아프론테크,"38,400",350,-0.90%,500,"6,140","15,989",2.23,"38,067",67.72,5.61,
106,코웰패션,"6,910",90,-1.29%,500,"6,115","88,500",2.62,"114,359",9.45,16.46,
107,피에스케이,"41,400","1,250",-2.93%,500,"6,113","14,765",10.73,"148,589",8.59,30.30,
108,원준,"121,600","6,000",+5.19%,100,"6,105","5,020",3.36,"174,407",77.16,11.04,
109,파인테크닉스,"13,400",0,0.00%,500,"6,056","45,192",1.49,"391,593",11.09,53.00,
110,인탑스,"35,100",150,+0.43%,500,"6,037","17,200",18.34,"131,169",5.81,15.00,
111,한국비엔씨,"8,980",290,-3.13%,100,"6,012","66,946",6.63,"571,845",-2.75,-402.18,
112,엑세스바이오,"16,550",150,-0.90%,0,"6,010","36,316",4.41,"136,841",1.72,102.45,
113,메드팩토,"28,500",400,-1.38%,500,"5,998","21,047",5.68,"50,041",-29.02,-34.33,
114,NHN한국사이버결제,"14,900",100,-0.67%,500,"5,984","40,161",29.58,"231,797",20.00,19.22,
115,유바이오로직스,"16,400",250,-1.50%,500,"5,977","36,445",5.52,"162,995",-20.45,N/A,
116,코미코,"59,400","1,100",-1.82%,500,"5,952","10,020",35.97,"23,260",11.97,24.09,
117,자이언트스텝,"27,200",400,-1.45%,500,"5,939","21,834",2.44,"210,569",-138.07,-4.96,
118,다날,"8,590",400,-4.45%,500,"5,923","68,949",7.27,"1,838,249",18.43,19.72,
119,데브시스터즈,"50,000",0,0.00%,500,"5,914","11,827",2.93,"43,549",12.02,45.11,
120,제이시스메디칼,"8,150",100,+1.24%,100,"5,811","71,299",10.16,"206,057",21.79,42.44,
121,젬백스,"14,500",250,+1.75%,500,"5,773","39,813",6.37,"126,324",55.13,8.34,
122,인트론바이오,"16,500",500,-2.94%,500,"5,635","34,151",10.72,"104,878",78.20,10.42,
123,두산테스나,"37,700",400,-1.05%,500,"5,564","14,760",5.42,"146,628",12.77,19.40,
124,서부T&D,"9,200",60,-0.65%,500,"5,557","60,400",12.11,"93,500",13.03,6.23,
125,바텍,"37,400",350,-0.93%,500,"5,555","14,854",28.56,"10,099",10.62,20.67,
126,아미코젠,"27,800",750,-2.63%,500,"5,492","19,755",10.44,"57,935",-173.75,2.20,
127,상상인,"9,900",140,+1.43%,"1,000","5,478","55,328",8.50,"501,174",4.52,15.76,
128,이랜텍,"21,650",350,-1.59%,500,"5,476","25,291",5.71,"257,832",11.03,18.76,
129,에스앤에스텍,"25,300",450,-1.75%,500,"5,427","21,451",4.67,"47,877",46.17,6.79,
130,우리기술투자,"6,450",160,-2.42%,500,"5,418","84,000",4.54,"501,185",1.00,147.40,
131,선광,"81,300",400,+0.49%,"1,000","5,366","6,600",10.36,"26,833",18.19,7.64,
132,네오위즈,"24,300","1,150",+4.97%,500,"5,354","22,034",8.51,"376,963",11.10,13.41,
133,비덴트,"10,400",550,-5.02%,500,"5,337","51,321",8.37,"1,916,778",3.80,44.64,
134,루트로닉,"20,100",750,-3.60%,500,"5,290","26,317",12.69,"414,015",14.99,25.32,
135,솔브레인홀딩스,"24,950",300,-1.19%,500,"5,231","20,964",4.16,"16,394",25.38,2.97,
136,에코마케팅,"16,150",300,-1.82%,100,"5,216","32,298",5.38,"156,983",20.06,18.39,
137,툴젠,"66,400",500,-0.75%,500,"5,214","7,852",0.91,"4,681",-22.04,-36.13,
138,코오롱티슈진,"8,010",0,0.00%,0,"5,200","64,920",6.90,0,-10.74,-109.20,
139,유니테스트,"24,450","1,100",-4.31%,500,"5,167","21,134",9.50,"615,897",-62.37,-3.92,
140,이엠텍,"32,500",950,+3.01%,500,"5,164","15,888",3.33,"196,734",13.98,16.48,
141,KH바텍,"21,750",100,-0.46%,500,"5,150","23,677",10.01,"74,979",14.53,16.95,
142,디오,"32,600",400,-1.21%,500,"5,142","15,774",26.39,"29,494",25.13,16.27,
143,코미팜,"8,000",50,-0.62%,100,"5,135","64,186",4.40,"50,079",-93.02,-6.25,
144,티케이케미칼,"5,640",580,+11.46%,500,"5,126","90,895",1.82,"16,829,807",1.22,75.04,
145,한글과컴퓨터,"20,250",50,+0.25%,500,"5,104","25,204",6.49,"135,025",23.22,6.59,
